;;;;;;;;Toti Profile for 105MWdc plant (first year);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
;;;;;;;Hour;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Avg;;;;;;;;;
;;;;;;;0;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;1;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;3;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;4;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;5;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;6;19,9%;4,7%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;3,8%;26,1%;30,7%;29,3%;9,6%;;;;;;;;;
;;;;;;;7;53,6%;41,6%;40,9%;39,3%;31,7%;19,8%;19,8%;33,3%;48,6%;66,3%;60,2%;56,3%;42,6%;;;;;;;;;
;;;;;;;8;63,2%;56,5%;63,6%;64,6%;66,5%;54,4%;58,8%;69,9%;70,1%;73,3%;65,5%;62,7%;64,1%;;;;;;;;;
;;;;;;;9;67,6%;62,6%;66,8%;70,3%;68,8%;57,4%;63,0%;74,5%;74,2%;75,4%;69,7%;66,7%;68,1%;;;;;;;;;
;;;;;;;10;75,7%;66,7%;70,0%;68,3%;69,4%;59,2%;64,9%;76,6%;78,3%;78,5%;72,1%;68,3%;70,7%;;;;;;;;;
;;;;;;;11;71,6%;66,5%;64,1%;69,6%;68,6%;61,1%;65,1%;74,7%;72,9%;75,6%;69,2%;64,8%;68,6%;;;;;;;;;
;;;;;;;12;67,1%;66,9%;64,1%;66,8%;67,4%;60,9%;66,4%;75,1%;72,6%;74,3%;70,9%;64,5%;68,1%;;;;;;;;;
;;;;;;;13;65,5%;67,0%;63,1%;65,9%;66,4%;62,9%;66,5%;73,8%;72,5%;73,0%;69,0%;64,7%;67,5%;;;;;;;;;
;;;;;;;14;62,4%;62,8%;63,6%;62,4%;66,1%;61,8%;66,0%;72,7%;69,5%;71,9%;64,7%;61,3%;65,4%;;;;;;;;;
;;;;;;;15;57,7%;64,3%;59,9%;59,8%;62,3%;58,5%;62,9%;70,2%;66,1%;67,6%;60,2%;57,6%;62,3%;;;;;;;;;
;;;;;;;16;52,6%;60,0%;52,5%;45,8%;36,9%;32,8%;40,3%;44,6%;47,9%;59,4%;52,8%;51,4%;48,1%;;;;;;;;;
;;;;;;;17;33,6%;35,3%;17,0%;2,7%;0,0%;0,0%;0,1%;0,9%;3,2%;7,9%;19,4%;30,0%;12,5%;;;;;;;;;
;;;;;;;18;1,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,2%;;;;;;;;;
;;;;;;;19;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;20;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;21;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;22;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;23;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;
;;;;;;;Avg;28,8%;27,3%;26,1%;25,6%;25,2%;22,0%;23,9%;27,8%;28,3%;31,2%;29,4%;28,2%;27,0%;;;;;;;;;
;;;;;;;;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;27,0%;;;;;;;;;;
